Season,Round,Date,Time,Home_Team,Away_Team,FT_Home_Goals,FT_Away_Goals,HT_Home_Goals,HT_Away_Goals,Total_Goals,HST,AST,HC,AC,HR,AR,AH_Result,OU_Result,Home_Elo,Away_Elo,Elo_Diff,Home_Avg_GS,Home_Avg_GA,Home_Avg_ST,Home_Avg_Corners,Away_Avg_GS,Away_Avg_GA,Away_Avg_ST,Away_Avg_Corners,Home_GS_AtHome,Home_GA_AtHome,Away_GS_AtAway,Away_GA_AtAway,Home_Attack_Eff,Home_Defense_Pressure,Away_Attack_Eff,Away_Defense_Pressure,Home_Days_Rest,Away_Days_Rest,Rest_Diff,H2H_Home_WinRate,H2H_Avg_Goals,Attack_Diff,Defense_Diff,Form_Diff
2018-2019,20,2018-12-29,15:00,布莱顿,埃弗顿,1,0,0,0,1,3,4,6,6,0,0,1,-1,1488.7493732042524,1501.9123158724494,-13.162942668197047,1.4,1.2,4.0,3.4,2.2,2.6,3.8,6.2,1.4,1.0,1.4,1.4,0.4861111111111111,0.4133333333333334,0.5466666666666666,0.4933333333333333,3.0,3.0,0.0,0.0,4.0,-0.8000000000000003,1.4,0.5999999999999999
2018-2019,20,2018-12-29,15:00,富勒姆,哈德斯菲尔德,1,0,0,0,1,5,5,4,3,0,0,1,-1,1428.1469970607252,1407.1676146735745,20.979382387150736,0.4,1.2,4.0,5.2,0.6,2.0,3.8,7.2,1.0,1.8,0.8,1.8,0.0952380952380952,0.3347222222222222,0.1733333333333333,0.45,3.0,3.0,0.0,0.0,1.0,-0.1999999999999999,0.8,0.6
2018-2019,20,2018-12-29,15:00,托特纳姆热刺,狼队,1,3,1,0,4,3,4,6,7,0,0,-1,1,1603.5544279912326,1495.5533352529708,108.00109273826185,3.4,0.6,5.6,5.0,1.4,1.0,4.0,4.4,2.4,0.6,1.0,1.2,0.6345238095238095,0.2166666666666666,0.45,0.2499999999999999,3.0,3.0,0.0,1.0,5.0,2.0,0.4,2.4
2018-2019,20,2018-12-29,15:00,沃特福德,纽卡斯尔联,1,1,0,1,2,5,2,3,6,0,0,-1,-1,1500.391298980828,1451.5339631523975,48.85733582843022,1.8,1.6,5.0,4.2,0.6,1.4,3.2,3.0,1.6,1.8,0.8,1.2,0.4169047619047619,0.3704761904761905,0.1625,0.2333333333333333,3.0,3.0,0.0,0.0,1.0,1.2000000000000002,-0.2000000000000001,1.0
2018-2019,20,2018-12-29,17:30,利物浦,阿森纳,5,1,4,1,6,10,2,5,3,0,0,1,1,1620.7084042946128,1557.3033154085645,63.40508888604836,3.2,0.4,8.2,9.6,1.8,1.4,4.6,3.4,2.8,0.4,1.8,1.8,0.4712121212121212,0.1333333333333333,0.39,0.2650793650793651,3.0,3.0,0.0,0.5,2.0,1.4,1.0,2.4000000000000004
2018-2019,20,2018-12-29,15:00,莱斯特城,卡迪夫城,0,1,0,0,1,7,3,10,4,0,0,-1,-1,1513.0600864660648,1439.942594573011,73.11749189305351,0.8,1.0,3.6,5.2,1.0,2.2,3.8,2.2,1.0,0.8,0.8,2.2,0.1866666666666666,0.4785714285714285,0.29,0.2406565656565656,3.0,3.0,0.0,1.0,1.0,-0.1999999999999999,1.2000000000000002,1.0000000000000002
2018-2019,20,2018-12-30,12:00,水晶宫,切尔西,0,1,0,0,1,0,4,3,4,0,0,-1,-1,1468.305621990422,1565.1760745854986,-96.8704525950766,1.4,1.6,3.6,4.8,1.4,1.0,4.0,4.0,1.0,0.6,2.0,1.4,0.54,0.38,0.38,0.4666666666666666,4.0,4.0,0.0,0.0,4.0,0.0,-0.6000000000000001,-0.6000000000000001
2018-2019,20,2018-12-30,14:15,南安普敦,曼彻斯特城,1,3,1,3,4,4,6,3,8,1,0,-1,1,1449.161829674954,1586.5899208841838,-137.42809120922993,1.6,1.8,4.8,4.6,2.0,1.6,5.4,10.2,1.4,1.4,1.4,0.6,0.2657142857142857,0.345,0.3571428571428571,0.6085714285714285,3.0,8.0,-5.0,0.0,7.0,-0.3999999999999999,-0.1999999999999999,-0.5999999999999999
2018-2019,20,2018-12-30,14:15,伯恩利,西汉姆联,2,0,2,0,2,5,4,5,5,0,0,1,-1,1422.6837433155374,1499.353083025885,-76.66933971034769,0.8,2.4,2.8,4.6,2.0,1.2,6.4,6.8,0.8,2.8,1.6,0.6,0.3541666666666666,0.4791666666666666,0.3678787878787878,0.26,4.0,3.0,1.0,0.0,6.0,-1.2,-1.2,-2.4
2018-2019,20,2018-12-30,16:30,曼彻斯特联,伯恩茅斯,4,1,3,1,5,8,3,4,5,1,0,1,1,1518.8128020215995,1485.5100844987896,33.30271752280987,3.0,1.6,7.8,5.6,0.8,2.4,2.8,4.6,2.2,1.0,1.0,2.4,0.400981240981241,0.3712121212121212,0.3333333333333333,0.5095238095238096,4.0,4.0,0.0,1.0,3.0,2.2,0.7999999999999998,3.0
